id,taxid,superkingdom,phylum,class,order,family,genus,species
A0A256IR61,1483400,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum sp. E3
A0A133VJZ2,1698281,Archaea,Euryarchaeota,,,,,candidate division MSBL1 archaeon SCGC-AAA382C18
A0A087RPD8,1502294,Archaea,Thaumarchaeota,,,,,Marine Group I thaumarchaeote SCGC AAA799-O18
E6P9G3,311458,Archaea,Thaumarchaeota,,,,Candidatus Caldarchaeum,Caldiarchaeum subterraneum
U1P757,1325472,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,,,halophilic archaeon J07HX5
A0A1H6BUA9,699433,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,Halobellus limi
A0A218ZVI5,1961136,Archaea,Candidatus Thermoplasmatota,Thermoplasmata,Thermoplasmatales,,,Thermoplasmatales archaeon B_DKE
A0A484IDE2,1798806,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrosocosmicus,Candidatus Nitrosocosmicus franklandus
A0A498G1H5,2282131,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,Halobellus sp. Atlit-38R
A0A1D2WAR2,1860100,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp. A39
Q18JW9,362976,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi
A0A256H5X9,1383850,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum sp. Ib24
L0KTQ9,867904,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,Methanomethylovorans hollandica
A0A518SDE5,2599399,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Salarchaeum,Salarchaeum sp. JOR-1
A0A483CRV4,2052832,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanofollis,Methanofollis fontis
A0A3A6PT46,2216978,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halonotius,Halonotius aquaticus
U1P8K7,1070774,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halonotius,Halonotius sp. J07HN4
A0A0F7PC37,1604004,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halanaeroarchaeum,Halanaeroarchaeum sulfurireducens
F8D481,797210,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halopiger,Halopiger xanaduensis
V4YEZ2,1412874,Archaea,,,,,,uncultured archaeon A07HR60
A4YG15,399549,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera sedula
A0A328SAJ7,1945577,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera sp. rholeuAM270
A0A6A9THD2,2668072,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum sp. CBA1125
A0A7D4Y5J1,1853690,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,Halolamina sp. CBA1230
A0A1U7EXX7,348780,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,Natronomonas pharaonis
A0A1H3HZU9,660517,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,Halobellus clavatus
A0A2R4ZQI2,2027460,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,,Desulfurococcaceae archaeon AG1
A0A031LK26,1160895,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Candidatus Acidianus copahuensis
A0A256KZ40,29283,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum distributum
T0N044,667137,Archaea,Candidatus Thermoplasmatota,Thermoplasmata,Thermoplasmatales,,,Thermoplasmatales archaeon E-plasma
S6D415,1033806,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus tiamatea
L9WGV4,1230460,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,Natronorubrum sulfidifaciens
A6UTN7,419665,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus aeolicus
A0A1G9XD13,660521,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogranum,Halogranum gelatinilyticum
A0A6G3ZGT5,2283638,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halorussus,Halorussus sp. MSC15.2
A0A087S8W8,1502289,Archaea,Thaumarchaeota,,,,,Marine Group I thaumarchaeote SCGC AAA799-B03
I7JAS3,1201294,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Methanoculleus bourgensis
