id,upacc,kingdom,phylum,class,order,family,genus,species
A0A017HSV2,A0A017HSV2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Rubellimicrobium,Rubellimicrobium mesophilum
A0A017HIQ4,A0A017HIQ4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Rubellimicrobium,Rubellimicrobium mesophilum
A0A017HMR5,A0A017HMR5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Rubellimicrobium,Rubellimicrobium mesophilum
A0A017HMU1,A0A017HMU1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Rubellimicrobium,Rubellimicrobium mesophilum
A0A017HSU7,A0A017HSU7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Rubellimicrobium,Rubellimicrobium mesophilum
A0A1X1RBV5,A0A1X1RBV5,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium bohemicum
A0A1X1R5X5,A0A1X1R5X5,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium bohemicum
A0A1X1QXB4,A0A1X1QXB4,Bacteria,Actinobacteria,Actinomycetia (high G+C Gram-positive bacteria),Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium bohemicum
A0A410UEJ9,A0A410UEJ9,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,Dyella sp. M7H15-1
A0A2N5ELT2,A0A2N5ELT2,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Chimaeribacter,Chimaeribacter arupi
A0A1H8AND6,A0A1H8AND6,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Mesobacillus,Mesobacillus persicus
A0A1H7WG61,A0A1H7WG61,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Mesobacillus,Mesobacillus persicus
A0A1H8BJQ7,A0A1H8BJQ7,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Mesobacillus,Mesobacillus persicus
A0A1H7Z1W7,A0A1H7Z1W7,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Mesobacillus,Mesobacillus persicus
A0A1H8KJE6,A0A1H8KJE6,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Mesobacillus,Mesobacillus persicus
A0A4R5DWB5,A0A4R5DWB5,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,Dyadobacter psychrotolerans
A0A4V2Z3Z8,A0A4V2Z3Z8,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,Dyadobacter psychrotolerans
A0A4R5DZL7,A0A4R5DZL7,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,Dyadobacter psychrotolerans
A0A4R5DL96,A0A4R5DL96,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,Dyadobacter psychrotolerans
